date,home_team,away_team,home_score,away_score,tournament,status,stage
2026-06-11T19:00:00Z,Mexico,South Africa,2.0,0.0,FIFA World Cup,FINISHED,GROUP_STAGE
2026-06-12T02:00:00Z,South Korea,Czechia,2.0,1.0,FIFA World Cup,FINISHED,GROUP_STAGE
2026-06-12T19:00:00Z,Canada,Bosnia-Herzegovina,1.0,1.0,FIFA World Cup,FINISHED,GROUP_STAGE
2026-06-13T01:00:00Z,United States,Paraguay,4.0,1.0,FIFA World Cup,FINISHED,GROUP_STAGE
2026-06-13T19:00:00Z,Qatar,Switzerland,1.0,1.0,FIFA World Cup,FINISHED,GROUP_STAGE
2026-06-13T22:00:00Z,Brazil,Morocco,1.0,1.0,FIFA World Cup,FINISHED,GROUP_STAGE
2026-06-14T01:00:00Z,Haiti,Scotland,0.0,1.0,FIFA World Cup,FINISHED,GROUP_STAGE
2026-06-14T04:00:00Z,Australia,Turkey,2.0,0.0,FIFA World Cup,FINISHED,GROUP_STAGE
2026-06-14T17:00:00Z,Germany,Curaçao,7.0,1.0,FIFA World Cup,FINISHED,GROUP_STAGE
2026-06-14T20:00:00Z,Netherlands,Japan,2.0,2.0,FIFA World Cup,FINISHED,GROUP_STAGE
2026-06-14T23:00:00Z,Ivory Coast,Ecuador,1.0,0.0,FIFA World Cup,FINISHED,GROUP_STAGE
2026-06-15T02:00:00Z,Sweden,Tunisia,5.0,1.0,FIFA World Cup,FINISHED,GROUP_STAGE
2026-06-15T16:00:00Z,Spain,Cape Verde Islands,0.0,0.0,FIFA World Cup,FINISHED,GROUP_STAGE
2026-06-15T19:00:00Z,Belgium,Egypt,1.0,1.0,FIFA World Cup,FINISHED,GROUP_STAGE
2026-06-15T22:00:00Z,Saudi Arabia,Uruguay,1.0,1.0,FIFA World Cup,FINISHED,GROUP_STAGE
2026-06-16T01:00:00Z,Iran,New Zealand,2.0,2.0,FIFA World Cup,FINISHED,GROUP_STAGE
2026-06-16T19:00:00Z,France,Senegal,3.0,1.0,FIFA World Cup,FINISHED,GROUP_STAGE
2026-06-16T22:00:00Z,Iraq,Norway,1.0,4.0,FIFA World Cup,FINISHED,GROUP_STAGE
2026-06-17T01:00:00Z,Argentina,Algeria,3.0,0.0,FIFA World Cup,FINISHED,GROUP_STAGE
2026-06-17T04:00:00Z,Austria,Jordan,3.0,1.0,FIFA World Cup,FINISHED,GROUP_STAGE
2026-06-17T17:00:00Z,Portugal,Congo DR,1.0,1.0,FIFA World Cup,FINISHED,GROUP_STAGE
2026-06-17T20:00:00Z,England,Croatia,4.0,2.0,FIFA World Cup,FINISHED,GROUP_STAGE
2026-06-17T23:00:00Z,Ghana,Panama,1.0,0.0,FIFA World Cup,FINISHED,GROUP_STAGE
